Structure,Date,Time,FishID
CIN,10/29/2020,6:59:06,900_228000281403
CIN,10/29/2020,6:59:06,900_228000281403
CIN,10/29/2020,6:59:08,900_228000281403
CIN,10/29/2020,6:59:08,900_228000281403
CIN,10/29/2020,6:59:08,900_228000281403
CIN,10/29/2020,6:59:12,900_228000281403
CIN,10/29/2020,6:59:13,900_228000281403
CIN,10/29/2020,6:59:15,900_228000281403
CIN,10/29/2020,6:59:15,900_228000281403
CIN,10/29/2020,6:59:15,900_228000281403
CIN,10/29/2020,6:59:17,900_228000281403
CIN,10/29/2020,6:59:18,900_228000281403
CIN,10/29/2020,6:59:18,900_228000281403
CIN,10/29/2020,6:59:19,900_228000281403
CIN,10/29/2020,6:59:20,900_228000281403
CIN,10/29/2020,6:59:25,900_228000281403
CIN,10/29/2020,6:59:25,900_228000281403
CIN,10/29/2020,6:59:25,900_228000281403
CIN,10/29/2020,6:59:27,900_228000281403
CIN,10/29/2020,6:59:27,900_228000281403
CIN,10/29/2020,6:59:28,900_228000281403
CIN,10/29/2020,6:59:33,900_228000281403
CIN,10/29/2020,6:59:35,900_228000281403
CIN,10/29/2020,6:59:45,900_228000281403
CIN,10/29/2020,6:59:46,900_228000281403
CIN,10/29/2020,6:59:46,900_228000281403
CIN,10/29/2020,6:59:51,900_228000281403
CIN,10/29/2020,6:59:52,900_228000281403
CIN,10/29/2020,6:59:53,900_228000281403
CIN,10/29/2020,6:59:53,900_228000281403
CIN,10/29/2020,6:59:54,900_228000281403
CIN,10/29/2020,6:59:56,900_228000281403
CIN,10/29/2020,6:59:57,900_228000281403
CIN,10/29/2020,6:59:59,900_228000281403
CIN,10/29/2020,7:00:01,900_228000281403
CIN,10/29/2020,7:00:03,900_228000281403
CIN,10/29/2020,7:00:03,900_228000281403
CIN,10/29/2020,7:00:04,900_228000281403
CIN,10/29/2020,7:00:04,900_228000281403
CIN,10/29/2020,7:00:07,900_228000281403
CIN,10/29/2020,7:00:07,900_228000281403
CIN,10/29/2020,7:00:09,900_228000281403
